,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,male,-0.066419959,0.151611447,0.027739607,0.052770555,-0.066104963,-0.041232228,-0.002637491,-0.158466667,0.130466834,-0.044872317,0.272529483,-0.107906975,-0.19001393,-0.145586133,-0.012682021,0.154818863,-0.241270676,-0.1629356,-0.120377056,-0.047154464,-0.004024379,0.010866527,0.013803344,0.03386163,-0.165088475,-0.356740177,-0.104969986,-0.089917317,0.16365613,-0.138331905,0.011188235,0.005594579,-0.144616514,-0.070562989,0.089039631,0.042198051,-0.013146047,-0.088540912,0.22637473,0.057620667,-0.188964412,0.0519334,0.050430316,0.350092202,0.152619183,0.084523559,0.01909095,-0.072577931,0.137972638,-0.219809204,0.089171156,0.118971661,0.175293565,-0.020232126,0.171878695,-0.152358159,-0.056448206,0.184120342,-0.255276233,0.108446561,0.063061923,-0.062614396,-0.001827129,-0.07117562,0.130166337,0.104554392,-0.074049488,-0.099382684,0.208387211,-0.115744263,-0.03768751,0.068941481,-0.012894509,-0.180840939,-0.315630168,-0.008551885,0.507536948,0.127879992,-0.18813844,-0.029042576,0.027042808,-0.064941235,0.08049532,0.066430591,-0.130934089,-0.063833818,-0.123376459,0.022975117,0.176487625,0.023527961,-0.042135999,0.146025985,-0.060144294,-0.045779057,0.0051162,-0.040269475,-0.146531627,0.020203592,-0.071422033,-0.070934042,0.039376121,-0.073056735,0.013109669,0.073191084,-0.174983814,0.112672918,0.050317094,-0.087700874,-0.033929542,0.018558547,-0.087492436,0.076849744,0.160139441,-0.35951823,0.225188583,0.175418943,-0.00395282,0.142985731,0.025989352,-0.001087022,0.027260248,-0.046753619,-0.118619218,-0.163774058,-0.000590186,-0.076400161,0.10749723,0.00156654
2,male,-0.030613856,0.04966652,0.008083738,-0.050323568,0.007649306,-0.063818008,-0.0195303,-0.119905055,0.18655315,-0.044821102,0.271852821,-0.041583262,-0.252784252,-0.117581777,-0.040385287,0.112986848,-0.199148208,-0.059139568,-0.138427958,-0.128424421,0.13936612,0.032023799,0.092371374,0.043215033,-0.143541217,-0.271580338,-0.007329741,-0.176620349,0.074238651,-0.121688545,0.007702054,0.039025877,-0.212572262,-0.110950418,0.03760834,0.048441395,-0.049306236,-0.044365507,0.236716643,0.019528849,-0.147680268,0.049391478,-0.006096423,0.205653623,0.248566478,0.030188143,-0.042329133,-0.061627872,0.188260168,-0.27866596,0.021112399,0.145158678,0.193658829,0.07809522,0.137435928,-0.188854054,0.064150006,0.1115532,-0.231087327,0.053463235,0.00855634,-0.159679666,0.00279952,-0.007079061,0.099345364,0.033120379,-0.101502538,-0.083931722,0.093351394,-0.105774753,-0.045844525,0.096129321,-0.125538349,-0.175253317,-0.33796078,-0.023692654,0.38086623,0.115519173,-0.235259205,0.036700346,-0.04963585,0.024890088,0.071687095,0.020129457,-0.055067122,-0.035233807,-0.094054505,-0.016875833,0.068932183,-0.057217106,-0.111654848,0.211533442,-0.086261094,0.087350234,0.04646191,0.012709774,-0.140843466,-0.009904325,-0.077446625,-0.016317226,0.019141031,-0.092818446,0.007208979,0.017403919,-0.177951694,0.121269435,-0.034219883,-0.007995605,-0.04797053,-0.019875532,-0.088063851,0.071552597,0.130182102,-0.311870396,0.315533102,0.231108606,-0.002901124,0.161646262,0.044228636,-0.023899905,-0.028107917,0.040617973,-0.146578565,-0.141243964,0.016161639,0.0176384,0.080609657,-0.015929665
3,male,-0.096177682,0.06112669,0.035326038,-0.035388201,-0.090728119,-0.018634144,-0.024314573,-0.139785841,0.05221061,-0.052085493,0.248798192,-0.023033431,-0.284684747,-0.20782645,0.078374803,0.110780604,-0.099561282,-0.159525514,-0.156688526,-0.046377264,-0.06686502,-0.016259497,0.119523972,-0.036528096,-0.200071692,-0.347998887,-0.092375755,-0.110221229,0.003830282,-0.072552763,-0.0373265,0.049584363,-0.241518483,-0.144819587,0.016032059,0.116783693,-0.05809924,-0.026928283,0.220967218,-0.030755457,-0.183196604,-0.038068905,0.050134279,0.207881808,0.229684785,0.036586352,-0.004238479,-0.00602506,0.087281756,-0.267858267,0.137094736,0.082915992,0.068342693,0.063802481,0.023715284,-0.070635349,0.069154166,0.142406091,-0.231441036,-0.027370799,0.066958286,-0.223758727,-0.118041284,0.001605874,0.1730479,0.122072682,-0.038423873,-0.144407004,0.169905171,-0.132964328,-0.058626335,0.011865001,-0.097386122,-0.10154862,-0.428371102,0.069544271,0.310534626,0.092322342,-0.175482899,0.038561482,-0.016819168,0.001925346,0.069979131,0.025116574,-0.030292623,-0.043646712,-0.131294236,0.039657872,0.139447078,-0.073285982,-0.028742122,0.176205918,0.000777651,0.061516047,0.151425138,0.097024128,-0.069615059,-0.021547686,-0.13579908,0.083675057,0.152181491,-0.062114619,0.024492456,0.094128765,-0.092503592,0.125003576,-0.017716458,-0.031443309,0.050664261,-0.127573445,-0.048483361,-0.116371036,0.103385188,-0.245697021,0.202905595,0.183545291,-0.0750499,0.141646475,0.111140914,0.059435967,-0.029222304,0.042115204,-0.222173139,-0.116907775,0.093428336,0.017391473,0.057651997,0.086116344
4,male,-0.103057027,0.085043512,0.078332767,-0.035873279,-0.028162964,0.004924194,0.007828606,-0.017015841,0.11490678,-0.05626744,0.216983914,-0.018398643,-0.1813353,-0.07599467,-0.127033994,0.093428127,-0.176821634,-0.129608408,-0.155171245,-0.149049044,0.013081439,0.092267439,0.025675509,0.009993065,-0.178496718,-0.346418202,-0.043122977,-0.141920015,0.015032947,-0.140129939,0.011061773,-0.026581908,-0.150920123,-0.077768855,0.027391229,0.026458392,-0.029288087,-0.090291433,0.247933567,0.004066907,-0.133366898,0.144164398,0.083786219,0.353149325,0.203906164,-0.001619809,0.006908473,-0.047751576,0.20760408,-0.236380666,0.071912721,0.107918695,0.078243472,0.066382617,0.108909465,-0.120665088,-0.035438426,0.161623195,-0.170442373,0.105450779,-0.011835659,-0.066494249,0.01636254,-0.05342881,0.119674757,0.117974967,-0.080187589,-0.159302279,0.220679432,-0.178842902,0.002644548,0.058399007,-0.06863901,-0.117243066,-0.229003638,0.058496997,0.410176337,0.123360477,-0.142493799,0.014459936,-0.07283175,0.01458326,0.068381682,0.031834293,-0.141612038,0.020708945,-0.06086906,0.040050067,0.237876832,0.103796661,-0.155428305,0.180122897,0.013430782,-0.011295429,0.179866791,0.003864191,-0.139885455,-0.020752698,-0.16082488,0.088256508,-0.013008405,-0.18207413,6.34E-05,0.067645304,-0.123532653,0.145205006,-0.039058805,0.000687828,-0.055641469,0.08452408,-0.105257288,0.059601571,0.183391348,-0.267824769,0.242997527,0.141717017,0.074632108,0.181926638,0.100793056,-0.002643529,-0.023388058,0.029497493,-0.139830381,-0.119243421,0.005305942,-0.01510025,0.161575377,0.062462494
5,male,-0.125815049,0.120045893,0.023131274,-0.042901006,0.038214993,-0.049676508,-0.05425835,-0.130758137,0.173457026,-0.011889388,0.175230846,-0.039688766,-0.141731337,-0.143041432,-0.017035328,0.074751452,-0.177354157,-0.148555189,-0.131869912,-0.098681003,0.019762948,0.010866147,0.106073312,0.008503567,-0.185058042,-0.347474664,-0.074852899,-0.163740382,0.064863801,-0.150133759,-0.05854445,0.010426212,-0.220642284,-0.037098944,-0.021289818,0.075946458,-0.001728817,-0.02232844,0.156009674,0.083397128,-0.165032178,0.000839707,0.045715488,0.248229235,0.234141514,0.018479595,-0.030372102,-0.013289766,0.077440135,-0.150621578,0.114519872,0.137319729,0.134190947,0.057427645,0.172978729,-0.081815869,0.030248426,0.033241823,-0.129343837,0.083946913,0.060341634,-0.074038893,-0.03926266,0.045363113,0.159065008,0.088142596,-0.041414186,-0.115491383,0.122287795,-0.10012234,-0.032193385,0.069556177,-0.027215458,-0.158749595,-0.228735358,0.049686361,0.406268418,0.13074027,-0.237446398,0.090802029,-0.13582024,-0.122097045,0.076815546,0.043074287,-0.118175842,0.090624556,-0.154215336,-0.017447978,0.168673515,0.031841081,-0.035376295,0.214744985,-0.049982011,0.018062867,0.076912381,-0.02970567,-0.1515643,0.020876687,-0.088460796,-0.123101756,0.082070157,-0.115517244,-0.068989098,0.026237048,-0.163095251,0.108429521,0.08206749,-0.028239608,0.000262441,0.067996159,-0.072004393,-0.080689788,0.100823089,-0.292562038,0.174695864,0.165347978,0.043593548,0.145136982,0.090196997,0.067527123,0.039925553,0.047468532,-0.056852028,-0.076700419,0.004965664,0.028170791,0.026041389,0.084135175
6,male,-0.149119139,0.125287801,0.142323107,-0.009087387,-0.031393856,-0.123533353,0.043598361,-0.063999444,0.162438989,-0.086513408,0.265905887,0.003493994,-0.136321768,-0.130758598,-0.009928647,0.156413838,-0.182461411,-0.167871684,-0.121032067,-0.043169178,0.003303748,-0.015225112,-0.00261518,0.046890683,-0.070344426,-0.352234721,-0.060027927,-0.183466822,0.161407903,-0.053499587,-0.002891321,0.053525917,-0.135978654,-0.079551518,-0.051167399,0.018729046,0.126997814,0.007311583,0.213952258,-0.049528889,-0.180237338,0.030464748,0.008249767,0.269431382,0.185390353,-0.005193148,0.099905074,0.033512212,0.0815515,-0.24799259,0.031652879,0.031304523,0.203080535,0.060688667,0.023029268,-0.200705856,-0.008202886,0.092475273,-0.187358141,0.140211165,0.077262409,-0.160599366,-0.080032602,0.035844363,0.295023382,0.083305657,-0.12161497,-0.128451973,0.192381606,-0.164782465,-0.002823762,0.011938018,-0.097703747,-0.008427728,-0.288426787,0.103543043,0.33051002,0.103054538,-0.254734516,0.032319739,-0.183289289,0.087028295,-0.023313649,0.039291419,-0.107024118,-0.035009898,-0.17046763,-0.086489871,0.138670415,0.03951323,0.017455101,0.189187959,0.007063214,0.023491625,-0.004771651,-0.021084573,-0.092751078,-0.065345079,-0.028955407,0.041288722,0.024437796,-0.084953278,-0.029044028,0.09091948,-0.199407876,0.132126242,-0.097508639,0.047699928,0.032438807,0.109636441,0.000530794,-0.079016149,0.148386076,-0.157599553,0.214968055,0.224198714,0.016864285,0.147985205,0.060833253,0.089528725,-0.0348722,0.057080287,-0.137162462,-0.072522245,0.052730791,-0.141460299,0.019018056,0.08576487
7,male,-0.139034688,0.073513053,-0.00176958,-0.034224797,-0.101609647,0.06510517,-0.01441993,-0.05499284,0.13467361,-0.058293387,0.125239015,-0.073222667,-0.237006366,0.090489753,-0.085244589,0.10624674,-0.183740139,-0.09530773,-0.123556517,-0.023843747,0.057802368,0.033887789,-0.074264497,0.045333907,-0.177540541,-0.333634645,0.001486294,-0.075382084,-0.010833902,-0.100046098,0.062714368,0.040413428,-0.143724501,-0.008957194,0.021301683,0.021729957,-0.007992858,-0.025601521,0.242467374,0.068515733,-0.211714491,0.018164476,0.004350867,0.349348307,0.179783791,0.031868473,-0.021828465,0.004814847,0.070788011,-0.332806289,0.043977652,0.119583137,0.124234937,0.031493481,0.087605603,-0.119977728,-0.02101375,0.114642896,-0.13649486,0.099031642,0.087335542,-0.085768878,0.061943479,-0.046449058,0.16214481,0.006790198,-0.112870157,-0.024974976,0.135939181,-0.089828178,-0.034313794,-0.019658016,-0.034688577,-0.242360681,-0.256619722,0.095209941,0.430145383,0.233797804,-0.253319174,-0.047830623,-0.059614435,-0.012174908,0.14270404,0.009136651,-0.054584458,-0.085137993,-0.047640666,0.025498535,0.22585988,0.025017302,-0.065731719,0.220742285,0.017198518,-0.118740499,0.017910101,0.023047701,-0.107225724,0.011038234,-0.11969015,0.001387894,0.071104303,-0.060588621,0.06287013,0.169605792,-0.224320188,0.17148979,-0.020381873,-0.079644576,0.026860354,0.093028232,-0.174262702,-0.017030526,0.197194889,-0.230364174,0.128228202,0.201639965,0.029910959,0.143707693,0.08100687,-0.002164146,0.060377337,0.080293879,-0.139369279,-0.150244802,0.078656666,0.024194222,0.062180068,0.03603866
8,male,-0.074126378,-0.00066875,0.004166011,-0.082413241,-0.096090779,-0.021992309,0.009713598,-0.056960832,0.174237192,-0.056700464,0.191856563,-0.019414287,-0.18527703,-0.075907283,0.039029654,0.055319779,-0.145558834,-0.138216078,-0.001009602,-0.048868336,0.038715094,0.037668072,-0.068250939,0.050768629,-0.142617434,-0.291616976,-0.114276566,-0.084573351,0.057007633,-0.060437571,0.011742285,0.083335884,-0.13153258,-0.024333706,0.125270575,0.134573385,0.017095774,-0.060581475,0.201113403,0.024482958,-0.157265529,-0.078230083,0.071981505,0.224651352,0.169494063,0.024280895,-0.032137562,-0.101112783,0.187347353,-0.191694736,0.030700412,0.176987454,0.085420087,0.048454169,0.062319018,-0.177141383,0.032295048,0.092680395,-0.245773301,-0.004344651,-0.012668969,-0.092352495,-0.065359183,-0.051898114,0.126633108,0.059605137,-0.089620717,-0.182809755,0.172272742,-0.207487568,-0.050046869,0.078046024,-0.124583632,-0.192418098,-0.240836933,0.030010778,0.3538616,0.126207277,-0.156807557,0.092364669,0.003182078,-0.063091859,0.099583142,0.0843217,-0.056440227,0.028602332,-0.06967248,0.029073048,0.199233621,-0.034337435,0.047888529,0.179849237,-0.032569483,0.103519961,0.065011278,0.010637149,-0.04103386,0.036165021,-0.133287191,-0.0000207,0.061236501,-0.072470099,0.06411393,0.110917389,-0.215786681,0.092512652,0.026568942,-0.071936086,-0.038381375,-0.081698388,-0.092600748,-0.037054565,0.173634216,-0.279653519,0.171479613,0.147200987,0.009971591,0.167156592,0.050497431,0.038932212,0.023519848,-0.090260237,-0.147691965,-0.00829629,0.007608778,-0.026686547,-0.017522693,-0.038310096
9,male,-0.166220292,0.042769201,-0.031646557,-0.036891535,-0.143837363,-0.04056599,0.04254052,-0.122923449,0.188970998,-0.036112159,0.152406871,-0.045662463,-0.277927667,-0.084081702,-0.084372193,0.08381658,-0.169669569,-0.129603475,-0.071195498,-0.131701156,0.067403629,-0.040534571,0.018634964,0.074770913,-0.170499429,-0.314869374,-0.060069848,-0.211452961,0.054742076,-0.097469926,-0.058312941,0.045263536,-0.152807832,-0.119358107,-0.008200444,0.045756709,0.052826699,-0.016189449,0.199076116,-0.024998445,-0.126627654,0.032016844,0.065988399,0.267214268,0.156299531,0.053738423,0.056739762,-0.014081288,0.15176329,-0.246330664,0.049530756,0.120231897,0.111934423,-0.021711357,0.093228072,-0.170382291,-0.010538859,0.124875724,-0.248517662,0.183323115,0.077546045,-0.05178896,-0.058066305,0.029322058,0.199375078,0.104611114,-0.069550797,-0.064544886,0.21906127,-0.200462982,0.018583689,0.003285305,-0.10658823,-0.193769962,-0.18318513,0.081725113,0.443339288,0.167870447,-0.120339297,0.051828295,-0.101137854,-0.037511487,0.060031477,-0.02018531,-0.125741526,0.016674224,-0.12545,0.068109214,0.197582245,0.026976991,0.033943757,0.282544285,0.033894971,-0.026503507,0.06768401,0.027668968,-0.13881433,-0.021888539,-0.08695434,0.008441957,0.119084187,-0.194678232,0.065029219,0.0334014,-0.209420636,0.033901621,-0.084829047,-0.035992548,-0.088976748,-0.023987284,-0.088631362,0.019189559,0.19174996,-0.21600388,0.208266422,0.197383419,0.053173691,0.147108197,0.014732084,-0.049135096,0.081770182,-0.027199082,-0.096941017,-0.094660603,0.057796799,-0.101063274,0.061373066,0.062175952
10,male,-0.185769543,0.154008463,0.073184282,-0.070829406,-0.14461717,-0.019731645,-0.019417759,-0.004675463,0.152324766,0.017507702,0.258853555,-0.002181023,-0.243738264,0.003508307,-0.118530996,0.091553338,-0.153450072,-0.118427195,-0.118235201,-0.049392469,0.098598883,0.120403044,-0.002563652,0.003534041,-0.131802171,-0.355465829,-0.101362266,-0.070822999,-0.00719654,-0.201309428,0.041021928,-0.027443506,-0.137945041,-0.093803629,-0.03328868,0.005281539,-0.075370833,-0.062740058,0.2023592,0.052108604,-0.259510368,0.052923318,0.100716889,0.393087447,0.142231315,0.032459475,-0.057841342,-0.040110953,0.068445191,-0.281699568,0.114630491,0.211873308,0.122605518,0.093749985,0.100010008,-0.075271845,0.055793706,0.132752806,-0.175556049,0.022516653,0.106727093,-0.095883682,0.045577131,-0.075706847,0.109100297,0.07958357,-0.053751957,-0.087726757,0.071053989,-0.130491659,-0.095350064,0.061833069,-0.074551724,-0.182108328,-0.328258187,0.06711787,0.342063636,0.125508949,-0.160760075,0.012814052,-0.094282329,-0.000493862,0.036324244,-0.020078259,-0.16471979,0.02659617,-0.179141447,0.02196797,0.178383499,-0.008679857,-0.002586162,0.244721681,0.089821517,-0.048356231,0.149438828,0.147010148,-0.125723019,-0.042448029,-0.106558755,0.058115423,0.07846202,-0.187015653,-0.049090445,0.084236994,-0.248583719,0.165804178,0.047750652,-0.04693079,-0.035084028,-0.006687157,-0.051802151,-0.053590745,0.168303251,-0.218236178,0.175922871,0.189067006,-0.003653888,0.17871809,0.09331692,0.03510125,-0.147997364,-0.046010137,-0.08777678,-0.100659676,0.03618985,0.012158326,0.032304402,0.085996389
